1,2,3,4,5,6,7,8,9,11,38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,2,,,,,,,,,
,,,CLASIFICACION,,,,8,8,,38
CODIGO,CP,FA,LINEA,CATEGORIA,TP,CASA / CCIAL,PRODUCTO,PRESENTACIÓN,IVA,PRECIO
3EALT-01,AGUILON ID8 ROSA SIN BOQUILLA,45776,TN,FUMIGACION,DB,ALTERTEC,AGUILON ID8 ROSA SIN BOQUILLA,UNIDAD,0.19,627440
3EALT-02,AGUILON ID9 LLAVE ROSA SIN BOQUILLA,45776,TN,FUMIGACION,DB,ALTERTEC,AGUILON ID9 LLAVE ROSA SIN BOQUILLA,UNIDAD,0.19,698169.6
8PCRY-70,ALBER/ESSENCIAL PP,45909,DPV,POSCOSECHA,DT,CHRYSAL,ALBER/ESSENCIAL PP,CAJA SACHETS 5 X 2400 UDS,0.19,306364.96799999999
8PCRY-06,ALBER/SAFEWAY UNIVER. IMPROV,45909,DPV,POSCOSECHA,DT,CHRYSAL,ALBER/SAFEWAY UNIVER. IMPROV,CAJA SACHETS 10 X 1000 UDS,0.19,189734.57988
8PCRY-07,ALBER/SAFEWAY UNIVER. IMPROV,45909,DPV,POSCOSECHA,DT,CHRYSAL,ALBER/SAFEWAY UNIVER. IMPROV,CAJA SACHETS 5 X 2000 UDS,0.19,189734.57988
1AGEN-06,ALCAPLANT NEW,45177,NV,FERTIRRIEGO,AL,CODIAGRO,ALCAPLANT NEW ,BOLSA X 20 KG,0,503156.36363636359
1RINN-11,ALGAK,45702,BIA,FOLIAR,EX,INNOVAK,ALGAK,BIDON X 1 LT,0,89302.940999999992
1AITR-06,ALGANOVA,44977,BIA,BIOESTIMULANTE,EX,INTEROC,ALGANOVA,BOLSA X 500 GR,0,?
1FINV-03,ALGUACIL SC,44964,PC,FUNGICIDA,DT,INVESA,ALGUACIL SC,BIDON X 1 LT,0,94601.898000000001
1ESFR-01,ALISIN,44952,BIO,INSECTICIDA,DT,SAFER,ALISIN,BIDON X 1 LT,0,65831.616000000009
2SSQM-12,SULFATO DE POTASIO ALLGANIC K,45583,NV,FERTIRRIEGO,EX,SQM,ALLGANIK MAKRO 60,BULTO X 50 KG,0,127840.74666666667
1CITR-04,ALZOR SL,44747,PC,COADYUVANTE,EX,INTEROC,ALZOR SL,BIDON X 1 LT,0.19,136397.83640662077
