Fecha,Grupo,Variedad / Serie,Tallos frescos,Tallos secos,Bloque,¿Cierre cama?,Notas,,CLAVE_LOTE (auto)
dd/mm/aaaa,seleccionar grupo,se llena con desplegable,solo frescos,los que van a seco,"ej: 4A, 3B, Inv5",escribir CIERRE,observación del día,,
2026-06-10,Campanula,Champion Pink,18,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-10,Boca de Dragón,Monaco Orange,100,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-10,Boca de Dragón,Potomac Crimson,100,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-10,Girasol,Pro Cut White Lite,70,,Inv 4A,,,,Girasol|Pro Cut White Lite|Inv 4A
2026-06-10,Dusty Miller,Silver Dust,20,,Inv 5,,,,Dusty Miller|Silver Dust|Inv 5
2026-06-11,Ammobium,Ammobium Alatum,100,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-11,Amaranto,Love Lies Bleeding,30,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-11,Campanula,Champion Pink,11,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-11,Campanula,Champion White,80,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-11,Boca de Dragón,Potomac Crimson,100,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-11,Boca de Dragón,Monaco Plumblossom,100,,Inv 5,,,,Boca de Dragón|Monaco Plumblossom|Inv 5
2026-06-11,Girasol,Pro Cut White Lite,88,,Inv 4A,,,,Girasol|Pro Cut White Lite|Inv 4A
2026-06-11,Statice,Mix,100,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-11,Ammi,Ammi Majus,50,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-12,Ammobium,Ammobium Alatum,100,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-12,Amaranto,Love Lies Bleeding,63,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-12,Campanula,Champion White,100,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-12,Boca de Dragón,Potomac Crimson,50,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-12,Boca de Dragón,Monaco Orange,54,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-12,Girasol,Pro Cut White Lite,54,,Inv 4A,,,,Girasol|Pro Cut White Lite|Inv 4A
2026-06-12,Statice,Mix,75,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-12,Zinnia,Mix,61,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-12,Gomphrena,Audrey White,100,,Inv 3B,,,,Gomphrena|Audrey White|Inv 3B
2026-06-14,Ammobium,Ammobium Alatum,100,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-14,Amaranto,Love Lies Bleeding,60,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-14,Campanula,Champion White,75,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-14,Boca de Dragón,Potomac Crimson,70,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-14,Boca de Dragón,Monaco Orange,55,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-14,Boca de Dragón,Opus Fresh,50,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-14,Boca de Dragón,Opus Pink,12,,Inv 4A,,,,Boca de Dragón|Opus Pink|Inv 4A
2026-06-14,Girasol,Pro Cut White Lite,100,,Inv 4A,,,,Girasol|Pro Cut White Lite|Inv 4A
2026-06-14,Statice,Mix,80,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-14,Zinnia,Mix,62,,Inv 4A,,,,Zinnia|Mix|Inv 4A
2026-06-15,Celosia,Cristata Verda Green,90,,Inv 3A,,,,Celosia|Cristata Verda Green|Inv 3A
2026-06-15,Gomphrena,Audrey White,60,,Inv 3B,,,,Gomphrena|Audrey White|Inv 3B
2026-06-15,Boca de Dragón,Potomac Crimson,120,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-15,Campanula,Champion White,41,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-15,Campanula,Champion Pink,20,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-15,Girasol,Pro Cut White Lite,53,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-15,Statice,Mix,75,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-15,Strawflower,Mix,120,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-15,Ammi,Ammi Majus,80,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-15,Amaranto,Love Lies Bleeding,80,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-15,Matricaria,Vegmo Single,95,,Inv 3C,,,,Matricaria|Vegmo Single|Inv 3C
2026-06-15,Boca de Dragón,Opus Fresh,105,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-15,Boca de Dragón,Monaco Orange,22,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-15,Amaranto,Velvet Curtains,29,,Inv 6,,,,Amaranto|Velvet Curtains|Inv 6
2026-06-15,Statice,Ruso,90,,Inv 3C,,,,Statice|Ruso|Inv 3C
2026-06-15,Zinnia,Mix,317,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-15,Gomphrena,Quis Carmine,230,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-15,Gomphrena,Quis Sequin,200,,Inv 3A,,,,Gomphrena|Quis Sequin|Inv 3A
2026-06-15,Lisianthus,Mix,60,,Inv 4B,,,,Lisianthus|Mix|Inv 4B
2026-06-16,Campanula,Champion Lavender,20,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-16,Campanula,Champion White,30,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-16,Campanula,Champion Pink,12,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-16,Statice,Mix,32,,Inv 3B,,,,Statice|Mix|Inv 3B
2026-06-16,Girasol,Pro Cut White Lite,70,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-16,Boca de Dragón,Monaco Plumblossom,24,,Inv 5,,,,Boca de Dragón|Monaco Plumblossom|Inv 5
2026-06-16,Boca de Dragón,Opus Pink,13,,Inv 4B,,,,Boca de Dragón|Opus Pink|Inv 4B
2026-06-16,Ammobium,Ammobium Alatum,100,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-17,Girasol,Pro Cut White Lite,47,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-17,Statice,Mix,84,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-17,Boca de Dragón,Monaco Orange,26,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-17,Boca de Dragón,Opus Fresh,72,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-17,Strawflower,Mix,130,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-17,Ammi,Ammi Majus,85,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-17,Celosia,Cristata Verda Green,70,,Inv 3A,,,,Celosia|Cristata Verda Green|Inv 3A
2026-06-17,Boca de Dragón,Potomac Crimson,134,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-17,Campanula,Champion Lavender,33,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-17,Campanula,Champion White,17,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-17,Campanula,Champion Pink,13,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-18,Boca de Dragón,Opus Fresh,100,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-18,Boca de Dragón,Potomac Crimson,100,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-18,Boca de Dragón,Monaco Plumblossom,46,,Inv 5,,,,Boca de Dragón|Monaco Plumblossom|Inv 5
2026-06-18,Boca de Dragón,Monaco Orange,7,,Invt,,,,Boca de Dragón|Monaco Orange|Invt
2026-06-18,Boca de Dragón,Cannes Pink,105,,Inv 4C,,,,Boca de Dragón|Cannes Pink|Inv 4C
2026-06-18,Zinnia,Mix,133,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-18,Gomphrena,Quis Carmine,520,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-18,Gomphrena,Audrey White,25,,Inv 3B,,,,Gomphrena|Audrey White|Inv 3B
2026-06-18,Gomphrena,Quis Sequin,220,,Inv 3A,,,,Gomphrena|Quis Sequin|Inv 3A
2026-06-18,Girasol,Pro Cut White Lite,58,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-18,Campanula,Champion Lavender,37,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-18,Campanula,Champion White,58,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-18,Campanula,Champion Pink,16,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-18,Ammobium,Ammobium Alatum,220,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-18,Amaranto,Love Lies Bleeding,60,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-18,Green Ball,Punky Ball,105,,Inv 4B,,,,Green Ball|Punky Ball|Inv 4B
2026-06-18,Amaranto,Love Lies Bleeding,60,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-19,Celosia,Cristata Verda Green,73,,Inv 3A,,,,Celosia|Cristata Verda Green|Inv 3A
2026-06-19,Statice,Mix,50,,Inv 3B,,,,Statice|Mix|Inv 3B
2026-06-19,Girasol,Pro Cut White Lite,34,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-19,Campanula,Champion Lavender,51,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-19,Campanula,Champion White,21,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-19,Campanula,Champion Pink,10,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-19,Boca de Dragón,Potomac Crimson,105,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-19,Amaranto,Velvet Curtains,39,,Inv 6,,,,Amaranto|Velvet Curtains|Inv 6
2026-06-19,Ammobium,Ammobium Alatum,60,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-19,Ammi,Ammi Majus,50,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-19,Zinnia,Mix,50,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-19,Strawflower,Mix,60,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-21,Amaranto,Love Lies Bleeding,50,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-21,Celosia,Cristata Verda Green,50,,Inv 3A,,,,Celosia|Cristata Verda Green|Inv 3A
2026-06-21,Statice,Mix,90,,Inv 4A,,,,Statice|Mix|Inv 4A
2026-06-21,Statice,Mix,100,,Inv 3B,,,,Statice|Mix|Inv 3B
2026-06-21,Girasol,Pro Cut White Lite,43,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-21,Campanula,Champion Pink,11,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-21,Campanula,Champion Lavender,100,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-21,Campanula,Champion White,50,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-21,Boca de Dragón,Potomac Crimson,105,,Inv 4A,,,,Boca de Dragón|Potomac Crimson|Inv 4A
2026-06-21,Boca de Dragón,Opus Fresh,100,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-21,Boca de Dragón,Monaco Orange,78,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-21,Boca de Dragón,Cannes Pink,100,,Inv 4C,,,,Boca de Dragón|Cannes Pink|Inv 4C
2026-06-21,Ammobium,Ammobium Alatum,42,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-21,Ammi,Ammi Majus,40,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-21,Zinnia,Mix,95,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-21,Gomphrena,Quis Carmine,200,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-21,Gomphrena,Quis Sequin,35,,Inv 3A,,,,Gomphrena|Quis Sequin|Inv 3A
2026-06-21,Strawflower,Mix,56,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-21,Statice,Mix,50,,Inv 3B,,,,Statice|Mix|Inv 3B
2026-06-22,Celosia,Cristata Verda Green,50,,Inv 3A,,,,Celosia|Cristata Verda Green|Inv 3A
2026-06-22,Statice,Mix,115,,Inv 3B,,,,Statice|Mix|Inv 3B
2026-06-22,Girasol,Pro Cut White Lite,29,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-22,Campanula,Champion Lavender,50,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-22,Campanula,Champion White,51,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-22,Campanula,Champion Pink,15,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-22,Ammobium,Ammobium Alatum,70,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-22,Ammi,Ammi Majus,80,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-22,Zinnia,Mix,70,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-22,Strawflower,Mix,100,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-22,Gomphrena,Quis Carmine,200,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-22,Boca de Dragón,Monaco Plumblossom,100,,Inv 5,,,,Boca de Dragón|Monaco Plumblossom|Inv 5
2026-06-23,Girasol,Pro Cut White Lite,3,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-23,Boca de Dragón,Cannes Red,100,,Inv 4B,,,,Boca de Dragón|Cannes Red|Inv 4B
2026-06-23,Boca de Dragón,Monaco Orange,100,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-23,Ammobium,Ammobium Alatum,18,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-23,Zinnia,Mix,79,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-23,Campanula,Champion Lavender,60,,Inv 3B,,,,Campanula|Champion Lavender|Inv 3B
2026-06-23,Gomphrena,Quis Carmine,250,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-23,Zinnia,Mix,52,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-24,Celosia,Cristata Verda Green,70,,Inv 3A,,,,Celosia|Cristata Verda Green|Inv 3A
2026-06-24,Amaranto,Love Lies Bleeding,50,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
