fecha_entrega,fecha_fuente,variedad,color,semillas,sem_entrega_semilla,sem_germinacion,sem_estimada_entrega,sem_entregada,sem_en_germinacion,entrega_1,entrega_2,entrega_3,entrega_4,plantulas_total,pct_germ_fuente,pct_germ_calc,viables_wk23,pinch_enfermas_wk23,perdida_wk23
2026-06-03,03/06,Lisianthus Arosa Wine,,2000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Celeb Pink,,3000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Elegance 3 Champagne,,1000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Macheriena White,,5000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Celeb 2 Crystal,,1000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Celeb 3 Pink,,4000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Corelli Sugoi Deep Pink,,5000,23,15,38,,-23,,,,,,,,,,
2026-06-03,03/06,Lisianthus Megalo 2 Pink Picotee,,5000,23,15,38,,-23,,,,,,,,,,
,Celosia Autumm Blaze,Oranges,1000,,,,,,,,,,,,,,,,
,Celosia Glowing Embers,Oranges,1000,,,,,,,,,,,,,,,,
,Celosia Sangria Mix,Magenta,1000,,,,,,,,,,,,,,,,
