semana_iso,anio,producto,grupo,bloque,plantas,tallos_estimados,calidad_dato,origen
6,2027,Trachelium White,Trachellium,(por asignar),1900,3800,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem41
6,2027,QIS Carmine,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
6,2027,QIS Red,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
7,2027,QIS Carmine,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
7,2027,QIS Red,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
8,2027,QIS Carmine,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
8,2027,QIS Red,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
8,2027,Flamingo Purple,Celosia Purple Flamingo,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem45
9,2027,Flamingo Purple,Celosia Purple Flamingo,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem45
10,2027,Flamingo Purple,Celosia Purple Flamingo,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem45
12,2027,Dusty New Look,Dusty Miller,(por asignar),1464,3904,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem39
13,2027,Dusty New Look,Dusty Miller,(por asignar),1464,3904,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem39
14,2027,Dusty New Look,Dusty Miller,(por asignar),1464,3904,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem39
14,2027,Ptilotus Matilda,Ptilotus,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem51
15,2027,Ptilotus Matilda,Ptilotus,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem51
16,2027,Ptilotus Matilda,Ptilotus,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem51
17,2027,Ptilotus Matilda,Ptilotus,(por asignar),1644,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem51
