semana_iso,anio,grupo,producto,bloque,plantas,tallos_semana,tallos_dia,base_del_calculo,origen
38,2026,Ammi,Ammi Majus,6ext,1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
38,2026,Ammi,Ammi Majus,3EXT,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
38,2026,Boca de Dragón,Opus Appleblossom,4B,1644,241,40,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
38,2026,Boca de Dragón,Opus Fresh,3A,1096,161,27,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
38,2026,Campanula,Campanula Pink,4C,3014,353,59,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
38,2026,Campanula,Campanula White,3C+4C,1918,225,38,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
38,2026,Carthamus,Dianthus Sweet Cherry,4A,1900,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
38,2026,Celosia cristata,Cristata Clubs Cocktail,4A (media cama),1978,147,24,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
38,2026,Dianthus,Dianthus Sweet Cherry,4A,1918,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
38,2026,Dusty Miller,Dusty New Look,,1464,130,22,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
38,2026,Gomphrena,QIS Carmine,5,1728,450,75,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
38,2026,Gomphrena,Salmon Pink,4B,730,190,32,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
38,2026,Gomphrena,Quis Pink,2,447,116,19,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
38,2026,Green Ball,Dianthus Green Ball,4B (media cama),SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
38,2026,Lisianthus,Lisianthus Blanco,3B,2800,383,64,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
38,2026,Lisianthus,Lisianthus Rosado,Mini 3C Y 3B,2000,274,46,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
38,2026,Lisianthus,Lisianthus Blanco,3B,1042,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
38,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
38,2026,Strawflower,Strawflower Cranberry Rose,3EXT,790,30,5,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
39,2026,Ammi,Ammi Majus,6ext,1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
39,2026,Boca de Dragón,Opus Appleblossom,4B,1644,241,40,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
39,2026,Boca de Dragón,Opus Fresh,3A,1096,161,27,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
39,2026,Boca de Dragón,Opus White Fresh,4A,822,121,20,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
39,2026,Carthamus,Dianthus Sweet Cherry,4A,1900,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
39,2026,Dusty Miller,Dusty New Look,,1464,130,22,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
39,2026,Gomphrena,QIS Carmine,5,1728,450,75,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
39,2026,Gomphrena,Salmon Pink,4B,730,190,32,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
39,2026,Gomphrena,Quis Pink,2,447,116,19,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
39,2026,Lisianthus,Lisianthus Blanco,3B,2800,383,64,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
39,2026,Lisianthus,Lisianthus Blanco,3B,1042,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
39,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
39,2026,Strawflower,Strawflower Cranberry Rose,3EXT,790,30,5,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
40,2026,Ammi,Ammi Majus,6ext,1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
40,2026,Boca de Dragón,Snapdragon Monaco Dark Pink,4B+3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
40,2026,Boca de Dragón,Opus White Fresh,4A,822,121,20,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
40,2026,Dusty Miller,Dusty New Look,,1464,130,22,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
40,2026,Gomphrena,QIS Carmine,5,1728,450,75,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
40,2026,Gomphrena,QIS Carmine,5,1662,433,72,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
40,2026,Gomphrena,Quis Pink,4A y 4B y 2,1508,393,66,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
40,2026,Gomphrena,Salmon Pink,4B,730,190,32,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
40,2026,Gomphrena,Quis Pink,2,447,116,19,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
40,2026,Lisianthus,Lisianthus Blanco,3B,2800,383,64,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
40,2026,Lisianthus,Lisianthus Blanco,3B,1042,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
40,2026,Lisianthus,Lisianthus Blanco,3B,286,39,6,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
40,2026,Scabiosa,Scabiosa Triple Berry,2,446,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
40,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
41,2026,Ammi,Ammi Majus,6ext,1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
41,2026,Boca de Dragón,Cannes Lemon,4A+3A,3304,484,81,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
41,2026,Boca de Dragón,Snapdragon Monaco Dark Pink,4B+3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
41,2026,Boca de Dragón,Cannes Red,3A,1527,224,37,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
41,2026,Boca de Dragón,Opus White Fresh,4A,822,121,20,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
41,2026,Campanula,Campanula Champion White,4B,1918,225,38,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
41,2026,Gomphrena,QIS Carmine,5,1728,450,75,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
41,2026,Gomphrena,QIS Carmine,5,1662,433,72,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
41,2026,Gomphrena,Quis Pink,4A y 4B y 2,1508,393,66,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
41,2026,Gomphrena,Salmon Pink,4B,730,190,32,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
41,2026,Gomphrena,Quis Pink,2,447,116,19,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
41,2026,Lisianthus,Lisianthus Blanco,3B,2800,383,64,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
41,2026,Lisianthus,Lisianthus Blanco,3B,1042,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
41,2026,Lisianthus,Lisianthus Blanco,3B,286,39,6,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
41,2026,Scabiosa,Scabiosa Triple Berry,2,446,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
41,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
41,2026,Strawflower,Strawflower King Size Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
41,2026,Strawflower,Strawflower Copper Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
42,2026,Ammi,Ammi Majus,6 EXT,1370,183,30,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
42,2026,Boca de Dragón,Cannes Lemon,4A+3A,3304,484,81,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
42,2026,Boca de Dragón,Snapdragon Monaco Dark Pink,4B+3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
42,2026,Boca de Dragón,Snapdragon Opus Lavender,4B+3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
42,2026,Boca de Dragón,Cannes Red,3A,1527,224,37,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
42,2026,Boca de Dragón,Snapdragon Opus Fresh,4B+3B,576,84,14,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
42,2026,Boca de Dragón MB,MB Madame Butterfly,4B,1395,155,26,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
42,2026,Boca de Dragón MB,MB Ivory,4B,1395,155,26,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
42,2026,Campanula,Campanula Champion White,4B,1918,225,38,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
42,2026,Gomphrena,QIS Carmine,5,1728,450,75,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
42,2026,Gomphrena,QIS Carmine,5,1662,433,72,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
42,2026,Gomphrena,Quis Pink,4A y 4B y 2,1508,393,66,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
42,2026,Gomphrena,Salmon Pink,4B,730,190,32,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
42,2026,Gomphrena,Quis Pink,2,447,116,19,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
42,2026,Lisianthus,Lisianthus Blanco,3B,1042,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
42,2026,Lisianthus,Lisianthus Blanco,3B,286,39,6,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
42,2026,Matricaria,Matricaria Snowball,4B,822,36,6,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",CAMPO (ya sembrado)
42,2026,Orlaya,Achillea Cerise Queen,3B parte baja,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
42,2026,Orlaya,Achillea Cloth of God,3B parte baja,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
42,2026,Scabiosa,Scabiosa Triple Berry,2,446,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
42,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
42,2026,Strawflower,Strawflower King Size Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
42,2026,Strawflower,Strawflower Copper Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
43,2026,Ammi,Ammi Majus,6 EXT,1370,183,30,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Cannes Lemon,4A+3A,3304,484,81,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Snapdragon Opus Red,4A,2016,296,49,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Snapdragon Opus Lavender,4B+3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Snapdragon Opus Lavender,3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Cannes Red,3A,1527,224,37,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Snapdragon Opus Fresh,4B+3B,576,84,14,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón,Snapdragon Opus Fresh,3B,548,80,13,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
43,2026,Boca de Dragón MB,MB Madame Butterfly,4B,1395,155,26,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
43,2026,Boca de Dragón MB,MB Ivory,4B,1395,155,26,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
43,2026,Campanula,Campanula Champion White,4B,1918,225,38,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
43,2026,Dusty Miller,Dusty New Look,5,864,77,13,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
43,2026,Gomphrena,QIS Carmine,5,1728,450,75,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
43,2026,Gomphrena,QIS Carmine,5,1662,433,72,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
43,2026,Gomphrena,Quis Pink,4A y 4B y 2,1508,393,66,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
43,2026,Green Ball,Dianthus Green Ball,3A,1600,666,111,"OBSERVADO (11 sem de registro, 3,751 tallos reales)",CAMPO (ya sembrado)
43,2026,Lisianthus,Lisianthus Blanco,3B,1042,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
43,2026,Lisianthus,Lisianthus Blanco,3B,286,39,6,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
43,2026,Lisianthus,Lisianthus Blanco,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
43,2026,Matricaria,Matricaria Snowball,4B,822,36,6,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",CAMPO (ya sembrado)
43,2026,Orlaya,Achillea Cerise Queen,3B parte baja,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
43,2026,Orlaya,Achillea Cloth of God,3B parte baja,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
43,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
43,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,1800,69,12,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
43,2026,Strawflower,Strawflower Vintage White,6 EXT,881,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
43,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,400,15,2,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
43,2026,Strawflower,Strawflower King Size Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
43,2026,Strawflower,Strawflower Copper Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
43,2026,Strawflower,Strawflower Vintage White,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
44,2026,Ammi,Ammi Majus,6 EXT,1370,183,30,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Opus Red,4A,2016,296,49,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Monaco Plumblossom,4A,2016,296,49,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Opus Lavender,4B+3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Opus Lavender,3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Plumblossom,4B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Opus White Fresh,4A,1440,211,35,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Opus Fresh,4B+3B,576,84,14,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Monaco Dark Pink,4A,576,84,14,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Boca de Dragón,Snapdragon Opus Fresh,3B,548,80,13,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
44,2026,Dusty Miller,Dusty New Look,5,864,77,13,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
44,2026,Gomphrena,QIS Carmine,5,1662,433,72,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
44,2026,Gomphrena,Quis Pink,4A y 4B y 2,1508,393,66,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
44,2026,Green Ball,Dianthus Green Ball,3A,1600,666,111,"OBSERVADO (11 sem de registro, 3,751 tallos reales)",CAMPO (ya sembrado)
44,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
44,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
44,2026,Lisianthus,Lisianthus Blanco,3B,286,39,6,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
44,2026,Lisianthus,Lisianthus Blanco,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
44,2026,Orlaya,Achillea Cerise Queen,3B parte baja,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
44,2026,Orlaya,Achillea Cloth of God,3B parte baja,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
44,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
44,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,1800,69,12,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
44,2026,Strawflower,Strawflower Vintage White,6 EXT,881,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
44,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,400,15,2,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
44,2026,Strawflower,Strawflower King Size Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
44,2026,Strawflower,Strawflower Copper Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
44,2026,Strawflower,Strawflower Vintage White,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
