,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,Ball Colombia,Matricaria Snowball,Blanco puro,,1918,,18,4A,JULIO,27,34,"Inicio cosecha sem27, pico sem28. Buena cosecha. | Snowball 4A sem18. 12 sem campo. Inicio cosecha sem27. Pico sem28-29. Sacamos un poquito pero esta cama tuvo muchas perdidas. Parches que no florecieron.",Matricaria Snowball,,,Activa,,,,
,Ball Colombia,Campanula Champion Lavender,Lavanda,,2192,,18,3B,AGOSTO,30,27,Sacrificada sem27 por problemas de florero al final de la ventana.,Campanula Lavender,,,Cerrada,,,,
,Ball Colombia,Campanula Champion White,Blanco puro,,1096,,18,3B,AGOSTO,31,28,Fin cosecha sem28. Quedan muy pocas flores.,Campanula White,,,Cerrada,,,,
,Ball Colombia,Dusty Miller New Look,Plateado azulado · hoja grande,,1464,,18,,SEPT,38,,,Dusty New Look,,,Activa,,,,
,Andres,Celosia Shimmer,Amarillo · salmón · rosa,,2654,,20,3A,AGOSTO,28,,Sem27 tallos cortos. Sem28 más largos. Algunos centros muy maduros cortados cortos con laterales inmaduros. | Sem20 → 10 sem campo. Todavía no lista. Cosecha estimada sem31.,Shimmer Mix,,,Activa,,,,
,Andres,Snapdragon Cannes Light Bronze,Apricot rosado,,3517,,20,3c,AGOSTO,32,,"Sem28 ya hay algunas flores. Ventana cosecha estimada sem29. | Sem20 → 10 sem campo. FAVORITA DCB. Cosechando desde sem29. Apertura extraordinaria, más flores que las que se pueden vender. Plántulas entregadas antes de tiempo — ciclo se adelantó vs Feria Flores. Para sem35: sembrar sem24-25. Estas en el 3A estan en su punto optimo en semana 33, ya para sacar en la 34",Cannes Light Bronze,,,Activa,,,,
,Andres,Snapdragon Cannes Red Delight,Rojo carmesí,,2793,,20,4a,AGOSTO,30,31,Sem20 → 10 sem campo. Cosechando desde sem30.,Cannes Red Delight,,,Activa,,,,
,Andres,Celosia Rose Gold,Rosados y corales suaves,,1231,,20,3A,AGOSTO,31,,Cosechando tallos extraordinarios en semana 32 y 33,Floret Rosados Corales,,,Activa,,,,
,Andres,Celosia Raspberry Lemonade,Coral · apricot · amarillo,,1158,,20,3A,AGOSTO,31,,"Semana 34 ya acercandose al final, la shimmer si ya se esta pasando primero",Floret Raspberry Lemonade,,,Activa,,,,
,Andres,Amaranto Green Tails,Verde lima,,1600?,,20,5,JULIO,28,31,"Sem24: 4 semanas, espigas ya visibles — adelantado. Cosecha real sem 29-30 julio. NO disponible pedido 23/06. | Sem28 algunos maduros. Empezando a sacar paquetes. Ideal hubiese sido sem27. | Cosecha masiva sem29 ~30 paquetes wedding planner. 30 paquetes prevendidos para 1-ago. Ventana óptima hasta sem30. Cama retenida por compromiso prepagado.",Green Tails,,,Activa,,,,
,Andres,Ammobium Winged Everlasting,Blanco · centro amarillo,,4757,,21,3 EXT,AGOSTO,30,,"Sem24: Finalizando cosecha. 1 flor por planta confirmado. | Fin cosecha sem27. Flores de menor calidad, algunas en el piso. Hubiesen aguantado 1 sem más. ",Ammobium Alatum,,,Cerrada,,,,
,Ball Colombia,Green ball punky ball,Verde musgo,,,,21,4B,SEPTIEMBRE,33,,"Desbrotes sem30 — pinch tardío, tallos principales ya formados. 9 sem campo. Desde semana 32 y 33 tallos espectaculares",Dianthus Green Ball,,,Activa,,,,
,Andres,Strawflower Apricot Peach,Durazno suave,,994,,21,3EXT,SEPTIEMBRE,32,,,Strawflower Apricot Peach,,,Activa,,,,
,Andres,Strawflower Silvery Rose,Rosado plateado claro,,800,,21,3EXT,SEPTIEMBRE,32,,,Strawflower Silvery Rose,,,Activa,,,,
,Andres,Strawflower Bright Rose,Rosa,,891,,21,3EXT,SEPTIEMBRE,32,,,Strawflower Bright Rose,,,Activa,,,,
,Andres,Strawfloer Purple Red,Fucsia avinado,,790,,21,3EXT,SEPTIEMBRE,34,,,Strawflower Cranberry Rose,,,Activa,,,,
,Andres,Celosias Dreams,Mix pastel · verde · coral · salmón,,"  2,467 ",la mitad,21,2,AGOSTO,28,31,SIN COTES SOLO BOKASHI | Sem28 flores maduras. Arranca cosecha. | Sem21 → 10 sem campo. Inducción floral en bandeja. Cierre estimado sem31.,Dreams Mix,,,Activa,,,,
,Andres,Amaranto Mira,Verde y vino variegado,,800,,22,2,AGOSTO,33,30,"Induccion floral en bandeja, los siembro para secar | PÉRDIDA. Inducción floral en bandeja. Se quedó enano. Sacada sem30. REGLA: amaranto con inducción en bandeja = descartar siempre.",Mira,,,Activa,,,,
,Andres,Gomphrena Salmon Pastel,Rosado salmonado,,730,,22,4B,SEPTIEMBRE,37,,SIN COTES SOLO BOKASHI | Sem22 → 8 sem campo. Primer corte sem30. ENSAYO maduración completa con laterales — menos pérdida carrito y menos maquillaje. Cosecha estimada sem34.,Salmon Pink,,,Activa,,,,
,Ball Colombia,Campanula Lavender ,Lavanda,,2592,,22,5,AGOSTO,32,,"SIN COTES SOLO BOKASHI | Sacrificada sem27 por problemas de florero al final de la ventana. | Sem22 → 8 sem campo. ACTIVA. Cosecha estimada sem34 (~4 sem más). Nota del archivo incorrecta — NO cerrada. Cosechando en semana 33 mucho, los polinizadores estan merodando y tenemos marchitez en campana mas alta, pero de resto muy bien. Hay que cosechar temprano con ellas.",Campanula Lavender,,,Cerrada,,,,
,Ball Colombia,Campanula Blanca,Blanco puro,,2592,,22,5,AGOSTO,34,,Sem24: Sembrada pareja con Lavender. Mismo amarillamiento inferior. Monitorear próximas 2 semanas. | Fin cosecha sem28. Quedan muy pocas flores. | Sem22 → 8 sem campo. ACTIVA. Cosecha estimada sem34 (~4 sem más). Nota del archivo incorrecta — NO cerrada.,Campanula White,,,Cerrada,,,,
,Ball Colombia,Dusty Miller New Look,Plateado azulado · hoja grande,,648,,22,3B,NOVIEMBRE,47,,SIN COTES SOLO BOKASHI,Dusty New Look,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Appleblossom,Blanco rosado pastel,,2448,,22,3C,AGOSTO,32,,"Cosechamos mucho en la 31 y 32 y ya en la 33 solo quedan muchos laterales, tallos delgados que vamos a vender como minis",Opus Appleblossom,,,Activa,,,,
,Andres,Gomphrena Quis Pink,Lila claro,,447,,22,2,SEPTIEMBRE,37,,,Quis Pink,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Appleblossom,Blanco rosado pastel,,864,,22,3b,AGOSTO,31,32,Tallos mas delgados que la norma,Opus Appleblossom,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Pink,Rosa,,720,,22,3B,AGOSTO,31,32,Tallos mas delgados que la norma,Opus Pink,,,Activa,,,,
,Ball Colombia,Matricaria Single Vegmo,Blanco con centro amarillo,,,,22,5,AGOSTO,35,,Sem24: Etiqueta 29/05. Prendimiento excelente uniforme. Amarillamiento inferior — patrón Inv 5. Preventivo mosca blanca OBLIGATORIO sem 28-30.,Matricaria Vegmo,,,Activa,,,,
,Andres,Lisianthus,Blanco puro,,,,22,3B,OCTUBRE,43,,,Lisianthus Blanco,,,Activa,,,,
,Ball Colombia,Ammi Majus,Blanco · verde suave,,,,22,3EXT,AGOSTO,35,,,Ammi Majus,,,Activa,,,,
,Ball Colombia,Trachellium White Lake,Blanco encaje,,2000,,23,5 y 3C,SEPTIEMBRE,,,Sem24: Etiqueta 29/05. Con mulch — contrasta positivamente con sem 11 sin mulch. Inicio cosecha septiembre. | Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.,Trachelium White,,,Activa,,,,
,Ball Colombia,Gomphrena Quis Carmine,Hot pink,,1728,,23,5,SEPTIEMBRE,38,,Sem24: 02/06/26. Sin Cotes ni Bokashi. Fertirriego activo. Crítica Amor y Amistad septiembre.,QIS Carmine,,,Activa,,,,
,Ball Colombia,Dusty Miller New Look,Plateado azulado · hoja grande,,864,,23,5,OCTUBRE,43,,,Dusty New Look,,,Activa,,,,
,Ball Colombia,Matricaria Vegmo Single,Blanco con centro amarillo,,3168,,23,4A,AGOSTO,35,,,Matricaria Vegmo,,,Activa,,,,
,Ball Colombia,Snapdragon Opus White Fresh,Blanco puro,,288,,23,3C,AGOSTO,33,35,"Comenzamos cosecha en la 33, quedan un poco mas de la mitad para la 34, espigas extraordinarias, gruesas.",Opus Fresh,,,Cerrada,,,,
,Andres,Celosias Lavly,Fucsia cereza,,3099,,,,,,,PERDIDA INDUCCION FLORAL,Cristata Reprise Velvet,,,Cerrada,,,,
,Andres,Snapdragon Cannes Light Bronze,Apricot rosado,,1414,,24,3A,AGOSTO,33,34,"Sin Bokashi, con Cotes | Sem28 ya hay algunas flores. Ventana cosecha estimada sem29.Cosecha espectacular",Cannes Light Bronze,,,Activa,,,,
,Andres,Snapdragon Prueba Avignon Pink 2,,,43,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes. Espectacular color rosa palido, tallos gruesos y largos, ",PRUEBA INTERNA,,,Activa,,,,
,Andres,Snapdragon Prueba Bridal Pink F1,,,44,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes",PRUEBA INTERNA,,,Activa,,,,
,Andres,Snapdragon Prueba Avignon Silver 2 F1,,,45,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes",PRUEBA INTERNA,,,Activa,,,,
,Andres,Snapdragon Prueba Antibes Apricot 1 F1,,,39,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes",PRUEBA INTERNA,,,Activa,,,,
,Andres,Snapdragon Prueba Avignon Light Rose 2 F1,,,20,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes",PRUEBA INTERNA,,,Activa,,,,
,Andres,Snapdragon Prueba Avignon Apricot 2 F1,,,26,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes",PRUEBA INTERNA,,,Activa,,,,
,Andres,Snapdragon Prueba Double F Apricot 2 F1,,,57,,24,3A,AGOSTO,33,35,"Sin Bokashi, con Cotes",PRUEBA INTERNA,,,Activa,,,,
,Andres,Celosia Cristata Enda Rose,Rosado coral,,4264,,24,3A,AMOR,32,,"Sin Bokashi, con Cotes | ALERTA sem28: inducción floral. Falla luz extendida sem27, todas fueron a flor. Probablemente se pierda esa cosecha.",Cristata Enda Rose,,,Activa,,,,
,Andres,Celosia Cristata Reprise Orange,Coral,,693,,24,4A,AMOR,37,,"Sin Bokashi, con Cotes | ALERTA sem28: inducción floral. Falla luz extendida sem27, todas fueron a flor. Probablemente se pierda esa cosecha.",Cristata Reprise Orange,,,Activa,,,,
,Andres,Celosia Cristata Clubs Cocktail,Rosado,,1978,,24,4A,AMOR,37,,"Sin Bokashi, con Cotes | ALERTA sem28: inducción floral. Falla luz extendida sem27, todas fueron a flor. Probablemente se pierda esa cosecha.",Cristata Clubs Cocktail,,,Activa,,,,
,Andres,Scabiosa Triple Berry Mix,,,446,,25,2,OCTUBRE,40,,"Sin Bokashi, con Cotes",Scabiosa Triple Berry,,,Activa,,,,
,Andres,Gomphrena Quis Carmine,Hot pink,,1662,,25,5,OCTUBRE,40,,"Sin Bokashi, con Cotes",QIS Carmine,,,Activa,,,,
,Andres,Gomphrena Quis Pink,Lila claro,,1508,,25,4A y 4B y 2,OCTUBRE,40,,"Sin Bokashi, con Cotes",Quis Pink,,,Activa,,,,
,Andres,Cynoglossum Blue,,,597,,25,2,OCTUBRE,40,,"Sin Bokashi, con Cotes",,,,Activa,,,,
,Ball Colombia,Campanula Champion Pink,Rosa,,3014,,25,4C,SEPTIEMBRE,37,,,Campanula Pink,,,Activa,,,,
,Ball Colombia,Carthamus Zanzibar,Vino intenso,,1900,,25,4A,SEPTIEMBRE,38,,,Dianthus Sweet Cherry,,,Activa,,,,
,Andres,Statice Forever Silver,Blanco,,1647,,25,3C,OCTUBRE,40,,,Forever Silver,,,Activa,,,,
,Ball Colombia,Ammi Majus,Blanco · verde suave,,1644,,25,6ext,SEPTIEMBRE,38,,,Ammi Majus,,,Activa,,,,
,Ball Colombia,Dianthus Sweet Cherry,Vino intenso,,1918,,25,4A,OCTUBRE,37,,,Dianthus Sweet Cherry,,,Activa,,,,
,Ball Colombia,Campanula Champion White,Blanco puro,,1918,,27,3C,SEPTIEMBRE,39,,,Campanula White,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Appleblossom,Blanco rosado pastel,,1644,,27,4A,SEPTIEMBRE,37,,,Opus Appleblossom,,,Activa,,,,
,Ball Colombia,Snapdragon Opus White Fresh,Blanco puro,,1096,,27,3A,SEPTIEMBRE,37,,,Opus Fresh,,,Activa,,,,
,Andres,Achillea Cerise Queen,,,1000,,28,6 EXT,ENERO,1,,,Achillea Cerise Queen,,,Activa,,,,
,Andres,Achillea Cloth of God,,,3342,,28,6 EXT,ENERO,1,,,Achillea Cloth of God,,,Activa,,,,
,Ball Colombia,Girasol Pro Cut White Lite,Blanco cremoso · centro dorado,,288,,28,4A,OCTUBRE,40,,,Girasol White Lite,,,Activa,,,,
,Andres,Strawflower Vintage White,Blanco puro,,881,,28,6 EXT,OCTUBRE,43,,,Strawflower Vintage White,,,Activa,,,,
,Andres,Strawflower King Size Red,Rojo intenso,,1800,,28,6 EXT,OCTUBRE,43,,,Strawflower Cranberry Rose,,,Activa,,,,
,Andres,Strawflower Copper Red,Rojo cobrizo cálido,,400,,28,6 EXT,OCTUBRE,43,,,Strawflower Cranberry Rose,,,Activa,,,,
,Ball Colombia,Dianthus Green Ball,Verde musgo,,1600,,28,3A,OCTUBRE,43,,,Dianthus Green Ball,,,Activa,,,,
,Prueba Hilverda,Limonium Bubblegum Wings,Rose,,70,,28,4A,OCTUBRE,43,,,Opus Appleblossom,,,Activa,,,,
,Prueba Hilverda,Limonium Fantasia Wings,Lilac,,70,,28,4A,OCTUBRE,43,,,Opus Fresh,,,Activa,,,,
,Prueba Hilverda,Limonium Pretty Wings,Pink,,70,,28,4A,OCTUBRE,43,,,Girasol White Lite,,,Activa,,,,
,Prueba Hilverda,Limonium Anouchka Diamond,Rosado,,40,,28,2,NOVIEMBRE,43,,,Dusty New Look,,,Activa,,,,
,Prueba Hilverda,Limonium Blush Diamond,Rosado,,40,,28,2,NOVIEMBRE,43,,,,,,Activa,,,,
,Prueba Hilverda,Limonium Max Diamond,Apricot,,40,,28,2,NOVIEMBRE,43,,,Forever Silver,,,Activa,,,,
,Prueba Hilverda,Limonium Divine Diamond,Rosado,,40,,28,2,NOVIEMBRE,43,,,Dianthus Sweet Cherry,,,Activa,,,,
,Prueba Hilverda,Limonium Tiffany Diamond,Fucsia,,40,,28,2,NOVIEMBRE,43,,,Campanula White,,,Activa,,,,
,Andres,Achillea Cerise Queen,,,,,28,3B parte baja,DICEMBRE?,42,,Lotecito junto con Cloth of God en parte baja 3B. Mismas sem28 que las de 6EXT.,Achillea Cerise Queen,,,,,,,
,Andres,Achillea Cloth of God,,,,,28,3B parte baja,DICEMBRE?,42,,Lotecito junto con Cerise Queen en parte baja 3B.,Achillea Cloth of God,,,,,,,
,Andres,Strawflower Vintage White,,,,,28,3B,NOVIEMBRE,43,,Lotecito sem28 en 3B. Mismo lote que 6EXT.,Strawflower Vintage White,,,,,,,
,Andres,Strawflower King Size Red,,,,,28,3B,NOVIEMBRE,41,,Lotecito sem28 en 3B. Mismo lote que 6EXT.,Strawflower King Size Red,,,,,,,
,Andres,Strawflower Copper Red,,,,,28,3B,NOVIEMBRE,41,,Lotecito sem28 en 3B. Mismo lote que 6EXT.,Strawflower Copper Red,,,,,,,
,Andres,Snapdragon MB Madame Butterfly,,,1395,,30,4B,OCTUBRE,42,,"1395 plantas. ENSAYO densidad: mitad superior 1/hueco (448 plantas), mitad inferior 2/hueco (896 plantas). Marcar físicamente punto de división.",MB Madame Butterfly,,,,,,,
,Ball Colombia,Trachellium White Lake,Blanco encaje,,1900,,29,5+3C,NOVIEMBRE,44,,Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.,Trachelium White,,,Activa,,,,
,Ball Colombia,Ammi Majus,,,1370,,29,6 EXT,OCTUBRE,42,,,Ammi Majus,,,Activa,,,,
,Ball Colombia,Snapdragon Opus White Fresh,,,822,,29,4A,OCTUBRE,39,,,Opus White Fresh,,,Activa,,,,
,Ball Colombia,Campanula Champion White,,,1918,,29,4B,OCTUBRE,41,,,Campanula Champion White,,,Activa,,,,
,Andres,Limonium Hipster Apricot,,,1838,,29,4C+,NOVIEMBRE,44,,,Statice Hipster Apricot,,,,,,,
,Ball Colombia,Gomphrena Quis Orange,,,464,,30,3B,OCTUBRE,45,,,QIS Orange,,,Activa,,,,
,Ball Colombia,Gomphrena Quis Red,,,822,,30,3B,OCTUBRE,45,,,QIS Red,,,Activa,,,,
,Andres,Snapdragon Cannes Red,,,1527,,30,3A,OCTUBRE,41,,,Cannes Red,,,,,,,
,Andres,Snapdragon MB White,,,1395,,30,4B,OCTUBRE,42,,,MB Ivory,,,,,,,
,Andres,Snapdragon Cannes Lemon,,,3304,,30,4A+3A,OCTUBRE,41,,,Cannes Lemon,,,,,,,
,Andres,Limonium Quis Lavender,,,673,,31,2,NOVIEMBRE,44,,,,,,,,,,
,Ball Colombia,Matricaria Snowball,,,822,,31,4B,OCTUBRE,42,,,,,,,,,,
,Ball Colombia,Snapdragon Monaco Dark Pink,,,1918,,32,4B+3B,OCTUBRE,40,,,,,,,,,,
,Ball Colombia,Snapdragon Opus Lavender,,,1918,,32,4B+3B,OCTUBRE,42,,,,,,,,,,
,Ball Colombia,Snapdragon Opus Fresh,,,576,,32,4B+3B,OCTUBRE,42,,,,,,,,,,
,Ball Colombia,Ammi Majus,,,1728,,32,6,NOVIEMBRE,45,,,,,,,,,,
,Ball Colombia,Dusty Miller,,,432,,32,5,DICIEMBRE,47,,,,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Lavender,,,1918,,33,3B,OCTUBRE,43,,,,,,,,,,
,Ball Colombia,Snapdragon Opus Fresh,,,548,,33,3B,OCTUBRE,43,,,,,,,,,,
,Ball Colombia,Snapdragon Plumblossom,,,1918,,33,4B,NOVIEMBRE,44,,,,,,,,,,
,Ball Colombia,Campanula Champion Pink,,,1370,,33,4B,NOVIEMBRE,45,,,,,,,,,,
,Ball Colombia,Gomphrena Carmine,,,1918,,33,3B,NOVIEMBRE,46,,,,,,,,,,
,Ball Colombia,Gomphrena Quis Red,,,1918,,33,3B,NOVIEMBRE,46,,,,,,,,,,
,Ball Colombia,Snapdragon Opus Red,,,2016,,33,4A,OCTUBRE,43,,,,,,,,,,
,Ball Colombia,Dianthus Sweet Cherry,,,2016,,34,3A,NOVIEMBRE,46,,,,,,,,,,
,Ball Colombia,Campanula champion White,,,1644,,34,3A,NOVIEMBRE,46,,,,,,,,,,
,Ball Colombia,Matricaria Snowball,,,2016,,34,3A,NOVIEMBRE,46,,,,,,,,,,
,Andres,Statice Hipster Apricot,,,1000,,34,3A,DICIEMBRE,49,,,,,,,,,,
,Ball Colombia,Sunflower Pro Cut Red,,,1440,,35,Mini,NOVIEMBRE,47,,,,,,,,,,
,Ball Colombia,Trachellium White Lake,,,3800,,35,3A,DICIEMBRE,50,,,,,,,,,,
,Ball Colombia,Snapdragon Monaco Plumblossom,,,2016,,35,4A,NOVIEMBRE,44,,,,,,,,,,
,Ball Colombia,Snapdragon Opus White Fresh,,,1440,,35,4A,NOVIEMBRE,44,,,,,,,,,,
,Ball Colombia,Snapdragon Monaco Dark Pink,,,576,,35,4A,NOVIEMBRE,44,,,,,,,,,,
,Ball Colombia,Ammi Majus,,,1728,,35,6,NOVIEMBRE,47,,,,,,,,,,
,Ball Colombia,Girasol Pro Cut Red,,,1152,,35,3A,NOVIEMBRE,47,,Comparte cama con Trachellium a 1 por hueco en el 3a,,,,,,,,
,Ball Colombia,Dianthus Sweet Cherry,,,2016,,36,4C+3C,NOVIEMBRE,48,,,,,,,,,,
,Ball Colombia,Celosia Purple Flamingo,,,1096,,36,5,DICIEMBRE,51,,,,,,,,,,
,Ball Colombia,Green Ball,,,1600,,36,4C,NOVIEMBRE,49,,,,,,,,,,
,Ball Colombia,Campanulas Champion Pink,,,1370,,36,5,NOVIEMBRE,48,,,,,,,,,,
,Ball Colombia,Campanulas Champion White,,,1644,,36,5,NOVIEMBRE,48,,,,,,,,,,
,Ball Colombia,Celosia Celway Red,,,1152,,,,,,,,,,,,,,,
