,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,Ball,Snapdragon Potomac Royal,Morado fucsia,,,22/09,39,3C,DICIEMBRE,51,,,Potomac Royal,,,Cerrada,,,,
,Ball,Ammi Majus,Blanco · verde suave,,,22/09,39,ext 3,DICIEMBRE,2,,"5 quedan aun mas pequenos, 8 ya ",Ammi Majus,,,Cerrada,,,,
,Ball,Snapdragon Potomac early white ,Blanco puro,,,01/10,40,2,DICIEMBRE,50,,,Opus Fresh,,,Cerrada,,,,
,Ball,Snapdragon Potomac early pink ,Blanco rosado pastel,,,01/10,40,2,DICIEMBRE,50,,,Potomac Appleblossom,,,Cerrada,,,,
,Ball,Green ball punky ball,Verde musgo,,,,40,,ENERO,1,,,Dianthus Green Ball,,,Cerrada,,,,
,Ball,Campanula white,Blanco puro,,,02/10,40,,DICIEMBRE,52,,,Campanula White,,,Cerrada,,,,
,Ball,Matricaria Vegmo single,Blanco con centro amarillo,,,02/10,40,,ENERO,52,,,Matricaria Vegmo,,,Cerrada,,,,
,DCB,Snapdragon enanos,,,2016,7/10,41,2,ENERO,,,,,,,Cerrada,,,,
,DCB,Marigold White Swan,Amarillo pastel,,2016,7/10,41,5,DICIEMBRE,51,,2,Marigold White Swan,,,Cerrada,,,,
,DCB,Strawflower,Salmón · durazno,,1354,8/10,41,2,ENERO,4,,"Seguimos cosechando en semana 9, muy malo sin pinch, seguimos cosechando en semana 15, 16 las voy a sacar pero no por produccion sino por espacio",Strawflower Apricot,,,Cerrada,,,,
,DCB,Didiscus,,,1380,9/10,41,2,ENERO,6,,Ya en semana 9 no queda casi nada,,,,Cerrada,,,,
,DCB,Ammobium Alatum,Blanco · centro amarillo,,1800,10/10,41,2,ENERO,2,,"Aun hay en campo en semana 9, tuvimos segunda floracion en semana 13,14, 15 ahi las saque porque necesitaba el espacio",Ammobium Alatum,,,Cerrada,,,,
,DCB,Amarantos,Verde lima,,1000,10/10,41,,ENERO,1,,2,Green Tails,,,Cerrada,,,,
,Ball,Snapdragon Calima PInk,Rosa,,1728,10/10,41,5,ENERO,2,,8,Cannes Pink,,,Cerrada,,,,
,Ball,Matricaria Vegmo Single,Blanco con centro amarillo,,2304,10/10,41,Mini,ENERO,2,,4,Matricaria Vegmo,,,Cerrada,,,,
,Ball,Ammi Visnaga,Blanco · verde suave,,288,10/10,41,3 ext,ENERO,2,,,Ammi Majus,,,Cerrada,,,,
,Ball,Snapdragon Monaco Red,Vino tinto,,1728,10/10,41,5,DICIEMBRE,2,,3,Monaco Red,,,Cerrada,,,,
,Ball,Snapdragon Potomac Earlly White,Blanco puro,,1728,10/10,41,5,DICIEMBRE,2,,3,Opus Fresh,,,Cerrada,,,,
,DCB,Amarantos Cascada,Verde lima,,1300,14/10,42,2,DICIEMBRE,51,,3,Green Tails,,,Cerrada,,,,
,DCB,Ammobium Alatum,Blanco · centro amarillo,,1300,14/10,42,2,ENERO,1,,,Ammobium Alatum,,,Cerrada,,,,
,DCB,Statice Quis Apricot,Salmón · durazno,,300,16/10,42,2,FEBRERO,7,,No hemos cosechado porque le dio botrytis desde el inicio y se seteo,Statice Apricot,,,Cerrada,,,,
,DCB,Celosia Evanthia,Vino tinto,,250,16/10,42,2,ENERO,2,,,Cristata Indian Summer,,,Cerrada,,,,
,DCB,Amaranto Velvet,Vino tinto,,1600,17/10,42,3 EXT,FEBRERO,6,,,Velvet Curtains,,,Cerrada,,,,
,DCB,Celosia Mix,Mix pastel · verde · coral · salmón,,300,17/10,42,,ENERO,3,,,Dreams Mix,,,Cerrada,,,,
,Ball,Matricaria Vegmo Single,Blanco con centro amarillo,,1440,17/10,42,5 y mini,ENERO,1,,,Matricaria Vegmo,,,Cerrada,,,,
,Ball,Matricaria Vegmo Snowball,Blanco puro,,1440,17/10,42,5 y mini,ENERO,27,,"Inicio cosecha sem27, pico sem28. Buena cosecha.",Matricaria Snowball,,,Cerrada,,,,
,Ball,Snapdragon Potomac Earlly White,Blanco puro,,1440,17/10,42,3a,ENERO,0,,,Opus Fresh,,,Cerrada,,,,
,Ball,Snapdragon Calima PInk,Rosa,,1440,17/10,42,3a,ENERO,1,,,Cannes Pink,,,Cerrada,,,,
,Ball,Campanula Champion Pink,Rosa,,1440,20/10,42,mini,ENERO,1,,4,Campanula Pink,,,Cerrada,,,,
,DCB,Orlaya,,,962,27/10,44,,ENERO,4,,7,,,,Cerrada,,,,
,DCB,Statice Quis Apricot,Salmón · durazno,,1265,27/10,44,3A,FEBRERO,7,,,Statice Apricot,,,Cerrada,,,,
,DCB,Daucus Carota Purple Kisses,Rosa pálido · lavanda · morado suave,,2020,28/10,44,2ext,MARZO,12,,Semana 16 aun nadan algo habia en semana 19 pero casi nada,Ammi Dara,,,Cerrada,,,,
,DCB,Gomphrenas,Hot pink,,6200,28/10,44,"4a, 3A",FEBRERO,5,,"Empezo solo la Quis Red / Semana 9 es la longitud y tamano de bola mas grande, terminamos de pelar todo en semana 12",QIS Carmine,,,Cerrada,,,,
,Ball,Campanula Champion White,Blanco puro,,2000,29/10,44,3C,FEBRERO,4,,9,Campanula White,,,Cerrada,,,,
,Ball,Matricaria Vegmo Single,Blanco con centro amarillo,,2304,30/10,44,3C,FEBRERO,5,,Sem 8 | Sacrificada por mosca blanca. Fin cosecha anticipado.,Matricaria Vegmo,,,Cerrada,,,,
,Ball,Trachellium White,Blanco encaje,,1600,30/10,44,3A,MARZO,,,"Semana 9, demorado en aperturar, semana 14 se sacan 20 tallos x dia. Decidi sacarla en semana 15 pero aun tenia tallos. | Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.",Trachelium White,,,Cerrada,,,,
,DCB,Snapdragon enanos,,,200,4/11,45,2,FEBRERO,5,,,,,,Cerrada,,,,
,DCB,Statice Forever Silver,Blanco,,870,07/11,45,5,MARZO,8,,"Sigue produciendo semana 16, en la semana 16 tiene mucha botrytis, tuvimos que podar muchos tallos, en semana 20 la voy a sacar porque tiene muchos hongos",Forever Silver,,,Cerrada,,,,
,Ball,Dahlias,,,696,11/11,46,2,ENERO,2,,"Ya semana 6 poco productivas, no me gustaron | Dalias tipo ball (bold/baby) Inv1. Floración espectacular desde sem29. Mildeo+pulgones activos sem30. BOMBA URGENTE esta semana.",Dalia Bold Baby,,,Cerrada,,,,
,Ball,Ammi Majus,Blanco · verde suave,,600,12/11,46,3A,FEBRERO,6,,,Ammi Majus,,,Cerrada,,,,
,DCB,Anemonas ,,,590,14/11,46,3C,FEBRERO,1,,"Aun sigue produciendo, las trasplante en semana 16 por el espacio",,,,Cerrada,,,,
,DCB,Ranunculus,,,480,14/11,46,3C,FEBRERO,1,,Semana 6 poco productivas,,,,Cerrada,,,,
,DCB,Helipterum Pierrot White,Blanco · centro negro · amarillo,,1396,17/11,47,2,FEBRERO,3,,"Hemos cosechado bastante semana 6, sem 8 súper productivo, en semana 12 ya queda una menor produccion, como para sacar.",Helipterum White,,,Cerrada,,,,
,DCB,Zinnia Benarys Giant Carmen Rose,Rojo vino,,1500,17/11,47,3AB,FEBRERO,4,,5 | Sem28 muchísima producción. Más de lo que se puede vender.,Zinnia Dark Red,,,Cerrada,,,,
